05/26/2012 12:17:31 am, IP Add: 127.0.0.1, user:homer, task: logged-in 
05/26/2012 12:18:03 am, IP Add: 127.0.0.1, user:homer, task: logged-in 
05/28/2012 09:30:41 am, IP Add: 0.0.0.0, user:homer, task: logged-in 
05/31/2012 12:09:41 am, IP Add: 0.0.0.0, user:homer, task: logged-in 
05/31/2012 12:09:56 am, IP Add: 0.0.0.0, user:homer, task: logged-in 
05/31/2012 12:10:12 am, IP Add: 0.0.0.0, user:homer, task: logged-in 
05/31/2012 12:10:41 am, IP Add: 0.0.0.0, user:homer, task: logged-in 
05/31/2012 12:10:58 am, IP Add: 0.0.0.0, user:homer, task: logged-in 
05/31/2012 12:11:13 am, IP Add: 0.0.0.0, user:homer, task: logged-in 
06/01/2012 10:47:32 am, IP Add: 0.0.0.0, user:homer, task: logged-in 
06/01/2012 01:19:10 pm, IP Add: 0.0.0.0, user:homer, task: logged-in 
